Date,GBP= (BID)
,Close
09/1/2024,1.2705
08/1/2024,1.2747
05/1/2024,1.2716
04/1/2024,1.2679
03/1/2024,1.2662
02/1/2024,1.2614
01/1/2024,1.2723
29/12/2023,1.2729
28/12/2023,1.273
27/12/2023,1.2794
26/12/2023,1.2726
25/12/2023,1.2689
22/12/2023,1.27
21/12/2023,1.2688
20/12/2023,1.2637
19/12/2023,1.273
18/12/2023,1.2642
15/12/2023,1.2675
14/12/2023,1.2766
13/12/2023,1.2618
12/12/2023,1.2561
11/12/2023,1.2553
08/12/2023,1.2546
07/12/2023,1.259
06/12/2023,1.2559
05/12/2023,1.2593
04/12/2023,1.2632
01/12/2023,1.27
30/11/2023,1.2622
29/11/2023,1.2694
28/11/2023,1.2693
27/11/2023,1.2625
24/11/2023,1.2603
23/11/2023,1.2533
22/11/2023,1.2492
21/11/2023,1.2537
20/11/2023,1.2504
17/11/2023,1.2461
16/11/2023,1.2406
15/11/2023,1.2418
14/11/2023,1.2497
13/11/2023,1.2278
10/11/2023,1.2222
09/11/2023,1.2221
08/11/2023,1.2282
07/11/2023,1.2299
06/11/2023,1.2341
03/11/2023,1.2376
02/11/2023,1.2201
01/11/2023,1.215
31/10/2023,1.2152
30/10/2023,1.2168
27/10/2023,1.2122
26/10/2023,1.2126
25/10/2023,1.2108
24/10/2023,1.2159
23/10/2023,1.2248
20/10/2023,1.216
19/10/2023,1.2143
18/10/2023,1.214
17/10/2023,1.2178
16/10/2023,1.2216
13/10/2023,1.2141
12/10/2023,1.2173
11/10/2023,1.2311
10/10/2023,1.2285
09/10/2023,1.2236
06/10/2023,1.2238
05/10/2023,1.219
04/10/2023,1.2128
03/10/2023,1.2075
02/10/2023,1.2086
29/9/2023,1.2197
28/9/2023,1.2197
27/9/2023,1.2134
26/9/2023,1.2157
25/9/2023,1.2211
22/9/2023,1.2238
21/9/2023,1.2294
20/9/2023,1.2344
19/9/2023,1.239
18/9/2023,1.2382
15/9/2023,1.2389
14/9/2023,1.2409
13/9/2023,1.2488
12/9/2023,1.2484
11/9/2023,1.2509
08/9/2023,1.2464
07/9/2023,1.2473
06/9/2023,1.2505
05/9/2023,1.2563
04/9/2023,1.2621
01/9/2023,1.2588
31/8/2023,1.2673
30/8/2023,1.2718
29/8/2023,1.2638
28/8/2023,1.2603
25/8/2023,1.2577
24/8/2023,1.2599
23/8/2023,1.2726
22/8/2023,1.273
21/8/2023,1.2754
18/8/2023,1.273
17/8/2023,1.2745
16/8/2023,1.2727
15/8/2023,1.2703
14/8/2023,1.268
11/8/2023,1.2694
10/8/2023,1.2675
09/8/2023,1.2718
08/8/2023,1.2746
07/8/2023,1.2784
04/8/2023,1.2748
03/8/2023,1.2713
02/8/2023,1.2709
01/8/2023,1.2777
31/7/2023,1.2837
28/7/2023,1.285
27/7/2023,1.2793
26/7/2023,1.2939
25/7/2023,1.29
24/7/2023,1.2832
21/7/2023,1.2855
20/7/2023,1.2865
19/7/2023,1.2937
18/7/2023,1.3034
17/7/2023,1.3071
14/7/2023,1.3086
13/7/2023,1.3133
12/7/2023,1.2986
11/7/2023,1.2932
10/7/2023,1.2859
07/7/2023,1.2836
06/7/2023,1.274
05/7/2023,1.2704
04/7/2023,1.2712
03/7/2023,1.2691
30/6/2023,1.2704
29/6/2023,1.2612
28/6/2023,1.264
27/6/2023,1.2746
26/6/2023,1.2712
23/6/2023,1.2711
22/6/2023,1.2746
21/6/2023,1.2769
20/6/2023,1.2761
19/6/2023,1.279
16/6/2023,1.2817
15/6/2023,1.2781
14/6/2023,1.2661
13/6/2023,1.2612
12/6/2023,1.2511
09/6/2023,1.2569
08/6/2023,1.2553
07/6/2023,1.2434
06/6/2023,1.2424
05/6/2023,1.2437
02/6/2023,1.2448
01/6/2023,1.2525
