Date,GBP= (BID)
,Close
14/6/2021,1.3809
07/6/2021,1.4106
31/5/2021,1.4154
24/5/2021,1.4187
17/5/2021,1.4147
10/5/2021,1.4096
03/5/2021,1.3972
26/4/2021,1.3814
19/4/2021,1.3874
12/4/2021,1.383
05/4/2021,1.3708
29/3/2021,1.3829
22/3/2021,1.3787
15/3/2021,1.3868
08/3/2021,1.3922
01/3/2021,1.3841
22/2/2021,1.3932
15/2/2021,1.4014
08/2/2021,1.3844
01/2/2021,1.3733
25/1/2021,1.3702
18/1/2021,1.3684
11/1/2021,1.3586
04/1/2021,1.3563
28/12/2020,1.3671
21/12/2020,1.3548
14/12/2020,1.352
07/12/2020,1.3223
30/11/2020,1.3437
23/11/2020,1.3314
16/11/2020,1.3282
09/11/2020,1.3186
02/11/2020,1.3156
26/10/2020,1.2941
19/10/2020,1.304
12/10/2020,1.2913
05/10/2020,1.3046
28/9/2020,1.2931
21/9/2020,1.2745
14/9/2020,1.2915
07/9/2020,1.2793
31/8/2020,1.3282
24/8/2020,1.3349
17/8/2020,1.3087
10/8/2020,1.3084
03/8/2020,1.3051
27/7/2020,1.3088
20/7/2020,1.2789
13/7/2020,1.2565
06/7/2020,1.262
29/6/2020,1.2483
22/6/2020,1.2333
15/6/2020,1.2356
08/6/2020,1.254
01/6/2020,1.2663
25/5/2020,1.2344
18/5/2020,1.2164
11/5/2020,1.2104
04/5/2020,1.2407
27/4/2020,1.2502
20/4/2020,1.2367
13/4/2020,1.2499
06/4/2020,1.2452
30/3/2020,1.226
23/3/2020,1.2456
16/3/2020,1.1641
09/3/2020,1.2276
02/3/2020,1.3047
24/2/2020,1.282
17/2/2020,1.2969
10/2/2020,1.3046
03/2/2020,1.2891
27/1/2020,1.3199
20/1/2020,1.3076
13/1/2020,1.3008
06/1/2020,1.3059
30/12/2019,1.3086
23/12/2019,1.3076
16/12/2019,1.3002
09/12/2019,1.3325
02/12/2019,1.3135
25/11/2019,1.2933
18/11/2019,1.283
11/11/2019,1.2899
04/11/2019,1.277
28/10/2019,1.2934
21/10/2019,1.2821
14/10/2019,1.2971
07/10/2019,1.2647
30/9/2019,1.2332
23/9/2019,1.2288
16/9/2019,1.2477
09/9/2019,1.25
02/9/2019,1.2281
26/8/2019,1.2156
19/8/2019,1.2277
12/8/2019,1.2149
05/8/2019,1.2034
29/7/2019,1.2154
22/7/2019,1.238
15/7/2019,1.25
08/7/2019,1.2573
01/7/2019,1.2523
24/6/2019,1.2693
17/6/2019,1.274
10/6/2019,1.259
03/6/2019,1.2734
27/5/2019,1.2631
20/5/2019,1.2712
13/5/2019,1.2718
06/5/2019,1.2999
29/4/2019,1.3171
22/4/2019,1.2917
15/4/2019,1.2988
08/4/2019,1.3081
01/4/2019,1.3036
25/3/2019,1.3031
18/3/2019,1.3209
11/3/2019,1.3289
04/3/2019,1.3015
25/2/2019,1.3202
18/2/2019,1.3052
11/2/2019,1.2889
04/2/2019,1.2947
28/1/2019,1.3083
21/1/2019,1.3201
14/1/2019,1.2873
07/1/2019,1.2841
