Date,Close
10-Jul-2023,"3,335"
07-Jul-2023,"3,310"
06-Jul-2023,"3,313"
05-Jul-2023,"3,369"
03-Jul-2023,"3,399"
30-Jun-2023,"3,353"
29-Jun-2023,"3,261"
28-Jun-2023,"3,338"
27-Jun-2023,"3,258"
26-Jun-2023,"3,258"
23-Jun-2023,"3,203"
22-Jun-2023,"3,210"
21-Jun-2023,"3,237"
20-Jun-2023,"3,211"
16-Jun-2023,"3,236"
15-Jun-2023,"3,262"
14-Jun-2023,"3,202"
13-Jun-2023,"3,184"
12-Jun-2023,"3,130"
09-Jun-2023,"3,175"
08-Jun-2023,"3,137"
07-Jun-2023,"3,091"
06-Jun-2023,"3,047"
05-Jun-2023,"3,058"
02-Jun-2023,"3,035"
01-Jun-2023,"3,022"
31-May-2023,"3,019"
30-May-2023,"3,015"
26-May-2023,"3,006"
25-May-2023,"3,026"
24-May-2023,"3,020"
23-May-2023,"3,029"
22-May-2023,"3,036"
19-May-2023,"3,074"
18-May-2023,"3,001"
17-May-2023,"3,010"
16-May-2023,"3,006"
15-May-2023,"2,980"
12-May-2023,"2,986"
11-May-2023,"3,003"
10-May-2023,"3,026"
09-May-2023,"2,999"
08-May-2023,"2,954"
05-May-2023,"2,933"
04-May-2023,"2,904"
03-May-2023,"2,870"
02-May-2023,"2,891"
01-May-2023,"2,932"
28-Apr-2023,"2,937"
27-Apr-2023,"2,924"
26-Apr-2023,"2,950"
25-Apr-2023,"2,928"
24-Apr-2023,"2,966"
21-Apr-2023,"2,983"
20-Apr-2023,"2,956"
19-Apr-2023,"2,977"
18-Apr-2023,"2,965"
17-Apr-2023,"2,919"
14-Apr-2023,"2,897"
13-Apr-2023,"2,915"
12-Apr-2023,"2,866"
11-Apr-2023,"2,903"
10-Apr-2023,"2,861"
06-Apr-2023,"2,870"
05-Apr-2023,"2,877"
04-Apr-2023,"2,882"
03-Apr-2023,"2,835"
31-Mar-2023,"2,894"
30-Mar-2023,"2,883"
29-Mar-2023,"2,853"
28-Mar-2023,"2,870"
27-Mar-2023,"2,859"
24-Mar-2023,"2,834"
23-Mar-2023,"2,822"
22-Mar-2023,"2,823"
21-Mar-2023,"2,780"
20-Mar-2023,"2,756"
17-Mar-2023,"2,721"
16-Mar-2023,"2,688"
15-Mar-2023,"2,616"
14-Mar-2023,"2,658"
13-Mar-2023,"2,653"
10-Mar-2023,"2,704"
09-Mar-2023,"2,732"
08-Mar-2023,"2,729"
07-Mar-2023,"2,756"
06-Mar-2023,"2,791"
03-Mar-2023,"2,760"
02-Mar-2023,"2,790"
01-Mar-2023,"2,841"
28-Feb-2023,"2,789"
27-Feb-2023,"2,756"
24-Feb-2023,"2,748"
23-Feb-2023,"2,770"
22-Feb-2023,"2,779"
21-Feb-2023,"2,782"
17-Feb-2023,"2,771"
16-Feb-2023,"2,747"
15-Feb-2023,"2,732"
14-Feb-2023,"2,659"
13-Feb-2023,"2,657"
10-Feb-2023,"2,606"
09-Feb-2023,"2,618"
08-Feb-2023,"2,613"
07-Feb-2023,"2,614"
06-Feb-2023,"2,617"
03-Feb-2023,"2,621"
02-Feb-2023,"2,635"
01-Feb-2023,"2,641"
31-Jan-2023,"2,629"
30-Jan-2023,"2,653"
27-Jan-2023,"2,660"
26-Jan-2023,"2,658"
25-Jan-2023,"2,623"
24-Jan-2023,"2,618"
23-Jan-2023,"2,633"
20-Jan-2023,"2,594"
